host,port,protocol,country,anonymity,response_time,last_tested,success_rate,ssl_support
200.8.19.122,8080,http,,,11.375981092453003,2025-07-21 11:05:51.088494+00:00,100.0,False
8.210.17.35,100,http,,,9.221940755844116,2025-07-21 11:05:51.088708+00:00,100.0,False
8.213.222.247,4002,http,,,8.546796560287476,2025-07-21 11:05:51.088851+00:00,100.0,False
47.91.120.190,10,http,,,6.799328088760376,2025-07-21 11:05:53.580779+00:00,100.0,False
158.69.185.37,3129,http,,,3.665566921234131,2025-07-21 11:05:52.921915+00:00,100.0,True
47.119.22.92,9098,http,,,7.370730638504028,2025-07-21 11:05:58.709559+00:00,100.0,False
47.251.87.74,3128,http,,,7.042837858200073,2025-07-21 11:06:06.631735+00:00,100.0,False
47.251.87.199,9080,http,,,6.350980758666992,2025-07-21 11:06:08.082160+00:00,100.0,False
47.237.113.119,6379,http,,,6.671177625656128,2025-07-21 11:06:12.009532+00:00,100.0,False
8.213.222.157,4002,http,,,6.969986438751221,2025-07-21 11:06:18.431208+00:00,100.0,False
47.122.57.58,80,http,,,6.905627727508545,2025-07-21 11:06:18.431011+00:00,100.0,False
43.217.159.83,9080,http,,,3.7305362224578857,2025-07-21 11:06:22.929120+00:00,100.0,True
45.136.198.40,3128,http,,,2.916099786758423,2025-07-21 11:06:27.555758+00:00,100.0,True
8.221.138.111,18080,http,,,6.314488410949707,2025-07-21 11:06:31.631982+00:00,100.0,False
39.102.209.121,50000,http,,,7.091256380081177,2025-07-21 11:06:34.502357+00:00,100.0,False
47.122.65.254,9080,http,,,6.682927846908569,2025-07-21 11:06:34.624783+00:00,100.0,False
8.221.139.222,8081,http,,,6.557382822036743,2025-07-21 11:06:34.725661+00:00,100.0,False
47.109.110.100,8081,http,,,7.121984243392944,2025-07-21 11:06:40.145793+00:00,100.0,False
8.221.141.88,91,http,,,6.383589029312134,2025-07-21 11:06:39.902333+00:00,100.0,False
189.183.132.188,8080,http,,,8.022000789642334,2025-07-21 11:06:41.562096+00:00,100.0,False
8.221.138.111,8081,http,,,6.536766290664673,2025-07-21 11:06:40.614193+00:00,100.0,False
47.92.152.43,443,http,,,6.846854209899902,2025-07-21 11:06:42.273360+00:00,100.0,False
8.215.12.103,202,http,,,6.908042669296265,2025-07-21 11:06:43.859751+00:00,100.0,False
213.231.7.10,8282,http,,,8.259176015853882,2025-07-21 11:06:49.472617+00:00,100.0,False
8.148.4.166,8443,http,,,7.282159805297852,2025-07-21 11:06:49.304785+00:00,100.0,False
202.47.185.118,1080,http,,,6.77935004234314,2025-07-21 11:06:49.305430+00:00,100.0,True
47.120.0.231,80,http,,,6.750916004180908,2025-07-21 11:06:50.055355+00:00,100.0,False
8.221.139.222,8080,http,,,6.445362567901611,2025-07-21 11:06:50.618773+00:00,100.0,False
57.129.81.201,3128,http,,,3.300276279449463,2025-07-21 11:06:51.720271+00:00,100.0,True
209.97.150.167,3128,http,,,3.1582274436950684,2025-07-21 11:06:54.088722+00:00,100.0,False
8.211.195.139,8081,http,,,6.7724080085754395,2025-07-21 11:06:58.080583+00:00,100.0,False
8.213.197.208,8081,http,,,7.016490459442139,2025-07-21 11:07:05.386673+00:00,100.0,False
